month,actual,prediction
2025-01-01,473755.0,418164.1875
2025-02-01,473590.0,414836.71875
2025-03-01,513445.0,437020.3125
2025-04-01,559835.0,444784.71875
2025-05-01,543630.0,441457.0625
2025-06-01,522945.0,437020.3125
2025-07-01,506080.0,437020.3125
2025-08-01,502555.0,427037.6875
2025-09-01,516050.0,429256.0625
2025-10-01,484535.0,427037.6875
2025-11-01,465750.0,392652.9375
2025-12-01,422475.0,378233.4375
