target,model,RMSE,MAE,MAPE (%),sMAPE (%),MASE,n_forecasts
theta,Chronos Serialised Multivariate,0.06700401239435794,0.05945106931405033,17.852952808482748,20.08446536310794,4.321208080158987,12
theta,Chronos Univariate,0.11117452236428475,0.10794850559879599,33.36023650105569,40.5582653465974,7.846250034132901,12
unemployment,Chronos Univariate,88929.75981875007,73791.80208333333,4.720501503405048,4.88442724405688,2.825322393697007,12
unemployment,Chronos Serialised Multivariate,112494.11006648495,103316.0674804322,6.637153775346029,6.906996819462896,3.9557402155801973,12
vacancies,Chronos Univariate,77488.53544312608,75010.296875,14.860458896741994,16.10628728625114,5.4833201350837415,12
vacancies,Chronos Serialised Multivariate,108793.05704869535,99173.16678687152,19.338613996482422,21.810896493187773,7.249647647824627,12
