month,actual,prediction
2025-01-01,0.3168293987828529,0.2682197391986847
2025-02-01,0.3191737430920609,0.2514006495475769
2025-03-01,0.3376594765224253,0.246089369058609
2025-04-01,0.3603701319600901,0.2283850014209747
2025-05-01,0.3460407383831954,0.2248441576957702
2025-06-01,0.3377324980625161,0.2239589989185333
2025-07-01,0.3244310532726457,0.2035991549491882
2025-08-01,0.316052449531476,0.2000583112239837
2025-09-01,0.3233193408934277,0.1876653432846069
2025-10-01,0.3124621138840524,0.185009628534317
2025-11-01,0.3138688590875396,0.182354062795639
2025-12-01,0.2722659019140298,0.1832392215728759
