month,actual,chronos_mv_pred
2025-01-01,0.3168293987828529,0.2740386676576489
2025-02-01,0.3191737430920609,0.25941472453314723
2025-03-01,0.3376594765224253,0.25648996616492686
2025-04-01,0.3603701319600901,0.2366012760773501
2025-05-01,0.3460407383831954,0.24537562652354564
2025-06-01,0.3377324980625161,0.2599996461902437
2025-07-01,0.3244310532726457,0.2763785800104727
2025-08-01,0.316052449531476,0.2757935839123382
2025-09-01,0.3233193408934277,0.27169883214718693
2025-10-01,0.3124621138840524,0.2670192331659772
2025-11-01,0.3138688590875396,0.27228382824532144
2025-12-01,0.2722659019140298,0.2716989089895488
