target,production_model,RMSE,MAE,MASE
theta,bilstm,0.111885466828856,0.0739064777947362,22.170528741934955
unemployment,ensemble,114033.69795732744,96540.54556253324,28.23319945539656
vacancies,ensemble,75778.02840256112,65604.35397766555,17.814237111428767
