target,winner_model,RMSE,MAE,MASE
unemployment,chronos_uni,75469.76534079293,57281.017628205125,12.63793225607964
vacancies,ensemble,75778.02840256112,65604.35397766555,17.814237111428767
theta,bilstm,0.111885466828856,0.0739064777947362,22.170528741934955
