series,order,seasonal_order,aic,bic,hqic,loglik,converged
log_unemployment,"(1, 1, 0)","(0, 0, 0, 12)",-2245.497346710579,-2236.9142084314626,-2242.1405046891814,1124.7486733552896,True
log_unemployment,"(0, 1, 1)","(0, 0, 0, 12)",-2241.850434338497,-2233.271003196679,-2238.494770936743,1122.9252171692485,True
log_unemployment,"(0, 1, 0)","(0, 0, 0, 12)",-2236.0745940907964,-2231.783024951238,-2234.3961730800975,1119.0372970453982,False
log_unemployment,"(1, 1, 1)","(0, 0, 0, 12)",-2241.2315692977236,-2228.3624225849967,-2236.198074195092,1123.6157846488618,True
log_unemployment,"(2, 1, 0)","(0, 0, 0, 12)",-2239.8308027241615,-2226.9616560114346,-2234.79730762153,1122.9154013620807,True
log_unemployment,"(0, 1, 2)","(0, 0, 0, 12)",-2235.8602831198423,-2222.996707439357,-2230.8285597522763,1120.9301415599211,True
log_unemployment,"(2, 1, 1)","(0, 0, 0, 12)",-2239.3637655727316,-2222.2049032890955,-2232.652438769223,1123.6818827863658,True
log_unemployment,"(1, 1, 2)","(0, 0, 0, 12)",-2236.706841111638,-2219.5554068709907,-2229.99787662155,1122.353420555819,True
log_unemployment,"(2, 1, 2)","(0, 0, 0, 12)",-2240.5449139534326,-2219.105621152624,-2232.158708340823,1125.2724569767163,False
log_unemployment,"(0, 1, 1)","(1, 0, 0, 12)",-2194.177956195541,-2181.364990899966,-2189.1623522744126,1100.0889780977705,True
log_unemployment,"(0, 1, 2)","(1, 0, 0, 12)",-2193.736866715353,-2176.6529129879195,-2187.049394820515,1100.8684333576764,True
log_unemployment,"(1, 1, 0)","(1, 0, 1, 12)",-2193.277161309352,-2176.2007761745267,-2186.5921036223403,1100.638580654676,True
log_unemployment,"(0, 1, 0)","(1, 0, 0, 12)",-2183.567064652051,-2175.0250877883345,-2180.2233287046324,1093.7835323260256,True
log_unemployment,"(1, 1, 0)","(1, 0, 0, 12)",-2187.6241836705767,-2174.816894819458,-2182.610390405318,1096.8120918352884,True
log_unemployment,"(1, 1, 0)","(0, 0, 1, 12)",-2187.4003315204673,-2174.5930426693485,-2182.3865382552085,1096.7001657602336,True
log_unemployment,"(1, 1, 1)","(1, 0, 0, 12)",-2190.6763570431453,-2173.59997190832,-2183.991299356134,1099.3381785215727,True
log_unemployment,"(0, 1, 1)","(1, 0, 1, 12)",-2190.335685592885,-2173.2668833987195,-2183.6530474212436,1099.1678427964425,True
log_unemployment,"(1, 1, 2)","(1, 0, 0, 12)",-2194.0348636043445,-2172.6893821858134,-2185.6785414955802,1102.0174318021723,True
log_unemployment,"(0, 1, 1)","(0, 0, 1, 12)",-2184.0192180944814,-2171.2176164488574,-2179.0072394657504,1095.0096090472407,True
log_unemployment,"(0, 1, 0)","(1, 0, 1, 12)",-2183.8018863063708,-2170.994597455252,-2178.788093041112,1094.9009431531854,True
log_unemployment,"(2, 1, 0)","(0, 0, 1, 12)",-2187.2251349912485,-2170.1487498564234,-2180.540077304237,1097.6125674956243,True
log_unemployment,"(0, 1, 0)","(0, 0, 1, 12)",-2178.3539763590006,-2169.8157837915883,-2175.011447515495,1091.1769881795003,True
log_unemployment,"(2, 1, 2)","(1, 0, 0, 12)",-2194.3661649212986,-2168.7629616300505,-2184.3422076638367,1103.1830824606493,False
log_unemployment,"(1, 1, 1)","(0, 0, 1, 12)",-2185.7260560099153,-2168.6572538157498,-2179.043417838274,1096.8630280049576,True
log_unemployment,"(2, 1, 0)","(1, 0, 1, 12)",-2189.6557741450906,-2168.3197714023836,-2181.3024764305387,1099.8278870725453,True
log_unemployment,"(2, 1, 2)","(0, 0, 1, 12)",-2193.1318270185548,-2167.5400197421286,-2183.111507028456,1102.5659135092774,False
log_unemployment,"(0, 1, 2)","(1, 0, 1, 12)",-2186.7241958771674,-2165.397689813479,-2178.3739292187515,1098.3620979385837,True
log_unemployment,"(2, 1, 0)","(1, 0, 0, 12)",-2182.3810973762347,-2165.312295182069,-2175.6984592045933,1095.1905486881174,True
log_unemployment,"(2, 1, 1)","(1, 0, 1, 12)",-2189.562174875061,-2163.958971583813,-2179.538217617599,1100.7810874375305,False
log_unemployment,"(1, 1, 2)","(0, 0, 1, 12)",-2185.2750429563475,-2163.948536892659,-2176.9247762979317,1097.6375214781738,True
log_unemployment,"(2, 1, 2)","(1, 0, 1, 12)",-2193.4787887383454,-2163.6216802491813,-2181.7884154165636,1103.7393943691727,False
log_unemployment,"(0, 1, 2)","(0, 0, 1, 12)",-2178.8561842092263,-2161.7949793582757,-2172.175970882494,1093.4280921046131,True
log_unemployment,"(2, 1, 1)","(1, 0, 0, 12)",-2182.346359885811,-2161.010357143104,-2173.993062171259,1096.1731799429056,True
log_unemployment,"(1, 1, 1)","(1, 0, 1, 12)",-2182.3111295771787,-2160.9751268344717,-2173.957831862627,1096.1555647885893,True
log_unemployment,"(1, 1, 2)","(1, 0, 1, 12)",-2186.443108323703,-2160.851301047277,-2176.4227883336043,1099.2215541618516,False
log_unemployment,"(2, 1, 1)","(0, 0, 1, 12)",-2181.866941117008,-2160.530938374301,-2173.513643402456,1095.933470558504,True
