month,actual_unemployment,forecast_unemployment,actual_vacancies,forecast_vacancies
2023-01-01,13.895891669911087,13.87261737254387,13.577608635674519,13.54745442368396
2023-02-01,13.907451431662631,13.875141363954677,13.524783855326268,13.536601602114624
2023-03-01,13.891730583875683,13.875741323927151,13.580256469229882,13.530817483068706
2023-04-01,13.893119537291257,13.875225532557515,13.64109764523836,13.533383897161368
2023-05-01,13.921041059173739,13.870776882922765,13.607883500802599,13.534960977846815
2023-06-01,13.958051244746384,13.870087497107784,13.566292502186784,13.527302884246122
2023-07-01,13.974392883024466,13.872967359463363,13.51741444716362,13.514066394524367
2023-08-01,13.967974101090743,13.876439306060218,13.51693604434607,13.505269215252179
2023-09-01,13.982210733855272,13.878131741848197,13.450155190783986,13.505035023943432
2023-10-01,14.027310007577826,13.880947462332216,13.475734870954174,13.501991492490154
2023-11-01,14.041290630599613,13.88216013431936,13.39477697772482,13.488219944198272
2023-12-01,14.04923790281813,13.884678547131855,13.189133781038182,13.479089577491326
2024-01-01,14.03576995409862,13.896068803181102,13.305609506649418,13.475292112835469
2024-02-01,14.07856689058965,13.898222481140243,13.285281227322772,13.477947180519624
2024-03-01,14.11591140282383,13.89508934877252,13.296467933593252,13.468101994527816
2024-04-01,14.123436336893098,13.895315959168451,13.373604469662881,13.452993510294315
2024-05-01,14.138101174904243,13.891699755417186,13.331983903386064,13.44651752937332
2024-06-01,14.16827787707199,13.890805169197263,13.280426394051503,13.441693479393134
2024-07-01,14.167715526431554,13.894390445606037,13.242729740062982,13.431864681672467
2024-08-01,14.194015484489656,13.897734692482471,13.24939242553287,13.4284096364403
2024-09-01,14.177302388282468,13.898745208734438,13.246119648825577,13.42143779324524
2024-10-01,14.198934535195558,13.898654432141107,13.231594393004052,13.422768601755616
2024-11-01,14.260004053039918,13.899375288102451,13.171505860454555,13.418975785553243
2024-12-01,14.222707498917197,13.902391095284457,12.994950372073655,13.400046238111802
2025-01-01,14.217837413571935,13.911847985467933,13.06844558941279,13.402731775324934
2025-02-01,14.210116922737562,13.914808093500476,13.068097247464147,13.408491471047444
2025-03-01,14.234615551776473,13.912308027613262,13.148898194532478,13.411139701052345
2025-04-01,14.256021007815239,13.908932893555304,13.235397376438454,13.40550523802861
2025-05-01,14.267222917237758,13.90254234323305,13.206024147374313,13.39684905896694
2025-06-01,14.25273269768563,13.900814020658276,13.167231574993194,13.391293377609285
2025-07-01,14.26013227460696,13.903445162865589,13.134450038539475,13.393833182134358
2025-08-01,14.279307465300489,13.906146618143195,13.127460365662172,13.39358403959184
2025-09-01,14.28307371167065,13.907561247791792,13.15395893899408,13.387567797315318
2025-10-01,14.25421699985224,13.906689622345397,13.090944947125902,13.384268703995255
2025-11-01,14.210184314994217,13.908424413832881,13.051404288463836,13.391542041734228
2025-12-01,14.254861662071576,13.912237946647402,12.953885552431025,13.406774979338193
