Model,RMSE,MAE,MAPE
Unemployment SARIMAX Baseline,0.28855941015004327,0.2574552828882285,1.8147572680057462
Unemployment Cross-Lag SARIMAX,0.2564684818767305,0.2278222852398358,1.2007656416557635
Vacancies SARIMAX Baseline,0.30940211296440445,0.26283241376000954,1.9947659369184918
Vacancies Cross-Lag SARIMAX,0.21286992296161503,0.1787320196410652,1.0366249340487677
