target,origin,forecast_date,horizon,weight_source,n_past_origins,w_sarimax,w_tbats_prophet,w_var,w_bilstm
unemployment,2023-04-01,2024-02-01,10,same_horizon_past_rmse,4,0.11798967130257777,0.11786819986837713,0.4862619519943349,0.27788017683471017
unemployment,2023-04-01,2024-03-01,11,same_horizon_past_rmse,4,0.1316606965976773,0.13157197264494414,0.3780527281668381,0.3587146025905405
unemployment,2023-04-01,2024-04-01,12,same_horizon_past_rmse,4,0.11914037720320285,0.11904926078083224,0.2824775845494664,0.4793327774664985
unemployment,2023-05-01,2023-06-01,1,same_horizon_past_rmse,5,0.2915710152093058,0.2963396428546812,0.2201263768391229,0.19196296509689015
unemployment,2023-05-01,2023-07-01,2,same_horizon_past_rmse,5,0.2619902758666106,0.2640477351808321,0.22887014654186746,0.2450918424106898
unemployment,2023-05-01,2023-08-01,3,same_horizon_past_rmse,5,0.24377059876425755,0.24446416067637064,0.23472691084164912,0.27703832971772274
unemployment,2023-05-01,2023-09-01,4,same_horizon_past_rmse,5,0.21037555746415904,0.2102815399257196,0.25258554042330206,0.3267573621868192
unemployment,2023-05-01,2023-10-01,5,same_horizon_past_rmse,5,0.17253646135599332,0.1724362681421907,0.32566782510621495,0.32935944539560097
unemployment,2023-05-01,2023-11-01,6,same_horizon_past_rmse,5,0.1733520171942728,0.1734399109905966,0.32486449499226594,0.3283435768228647
unemployment,2023-05-01,2023-12-01,7,same_horizon_past_rmse,5,0.16117101894377284,0.16123276913353896,0.28074502309239824,0.3968511888302901
unemployment,2023-05-01,2024-01-01,8,same_horizon_past_rmse,5,0.14693310607721544,0.1468945006398153,0.2650002381688804,0.44117215511408897
unemployment,2023-05-01,2024-02-01,9,same_horizon_past_rmse,5,0.13076993830737155,0.130707854746035,0.2851549478351557,0.4533672591114377
unemployment,2023-05-01,2024-03-01,10,same_horizon_past_rmse,5,0.15011451438846452,0.1500922779871724,0.3092068809249795,0.3905863266993836
unemployment,2023-05-01,2024-04-01,11,same_horizon_past_rmse,5,0.14422614651100346,0.14424034565349342,0.255839577900789,0.45569392993471414
unemployment,2023-05-01,2024-05-01,12,same_horizon_past_rmse,5,0.11787075847726616,0.11786196450485666,0.20484569363920815,0.5594215833786691
unemployment,2023-06-01,2023-07-01,1,same_horizon_past_rmse,6,0.2916657091381857,0.29556158644050845,0.24728821456614675,0.16548448985515915
unemployment,2023-06-01,2023-08-01,2,same_horizon_past_rmse,6,0.2688898166533876,0.2699979543825003,0.23953686451320252,0.22157536445090947
unemployment,2023-06-01,2023-09-01,3,same_horizon_past_rmse,6,0.2501962691974272,0.2504971591900205,0.240242176209661,0.2590643954028911
unemployment,2023-06-01,2023-10-01,4,same_horizon_past_rmse,6,0.22012677567392588,0.2197722029745498,0.26450034131046946,0.29560068004105483
unemployment,2023-06-01,2023-11-01,5,same_horizon_past_rmse,6,0.2021242577273814,0.2017908027150918,0.3025906895994362,0.2934942499580906
unemployment,2023-06-01,2023-12-01,6,same_horizon_past_rmse,6,0.19673496108260982,0.19664024619850623,0.2916440950208988,0.3149806976979852
unemployment,2023-06-01,2024-01-01,7,same_horizon_past_rmse,6,0.18272211870919225,0.1826547623115392,0.26666696284900465,0.3679561561302639
unemployment,2023-06-01,2024-02-01,8,same_horizon_past_rmse,6,0.15975142085584948,0.1596340988480276,0.25555959820114865,0.4250548820949744
unemployment,2023-06-01,2024-03-01,9,same_horizon_past_rmse,6,0.15683752260129477,0.15669230017224206,0.26185125288471,0.42461892434175325
unemployment,2023-06-01,2024-04-01,10,same_horizon_past_rmse,6,0.16889199222851384,0.1687877815412676,0.2658005767039841,0.3965196495262345
unemployment,2023-06-01,2024-05-01,11,same_horizon_past_rmse,6,0.15303816107707024,0.1529854126088771,0.23028763888326995,0.4636887874307827
unemployment,2023-06-01,2024-06-01,12,same_horizon_past_rmse,6,0.12153798181484664,0.12148498173531012,0.18176588360588714,0.5752111528439562
unemployment,2023-07-01,2023-08-01,1,same_horizon_past_rmse,7,0.3052442040240102,0.3089113812542548,0.2538206852330608,0.1320237294886742
unemployment,2023-07-01,2023-09-01,2,same_horizon_past_rmse,7,0.27817013847691663,0.27918237248150557,0.24615241359359577,0.19649507544798203
