target,origin,forecast_date,horizon,weight_source,n_past_origins,w_sarimax,w_tbats_prophet,w_var,w_bilstm
vacancies,2023-04-01,2024-02-01,10,same_horizon_past_rmse,4,0.25859263917003383,0.1493058821773177,0.38962812132166746,0.20247335733098104
vacancies,2023-04-01,2024-03-01,11,same_horizon_past_rmse,4,0.25583447346040306,0.1458574140067529,0.34686489927062963,0.25144321326221436
vacancies,2023-04-01,2024-04-01,12,same_horizon_past_rmse,4,0.24617233038115732,0.13737293401702705,0.33876260272747266,0.27769213287434297
vacancies,2023-05-01,2023-06-01,1,same_horizon_past_rmse,5,0.40763948412261247,0.26640340146519637,0.2850676258433237,0.040889488568867455
vacancies,2023-05-01,2023-07-01,2,same_horizon_past_rmse,5,0.44579983786599564,0.22049775434237046,0.2921811806403236,0.04152122715131029
vacancies,2023-05-01,2023-08-01,3,same_horizon_past_rmse,5,0.42716155119435256,0.20597921810660755,0.31823034600808436,0.04862888469095551
vacancies,2023-05-01,2023-09-01,4,same_horizon_past_rmse,5,0.40853880046708513,0.2029609304391819,0.32775812934399173,0.0607421397497413
vacancies,2023-05-01,2023-10-01,5,same_horizon_past_rmse,5,0.3494824228563477,0.20919962211729373,0.34945758100057767,0.091860374025781
vacancies,2023-05-01,2023-11-01,6,same_horizon_past_rmse,5,0.30845911334633996,0.18017637307569598,0.4149346574668064,0.0964298561111575
vacancies,2023-05-01,2023-12-01,7,same_horizon_past_rmse,5,0.2877053830606723,0.16956898770834697,0.4292207710984487,0.1135048581325321
vacancies,2023-05-01,2024-01-01,8,same_horizon_past_rmse,5,0.28819836972403323,0.18517376783027814,0.34654505479927034,0.18008280764641832
vacancies,2023-05-01,2024-02-01,9,same_horizon_past_rmse,5,0.27247563474049163,0.1628212690730343,0.3638300222460789,0.2008730739403952
vacancies,2023-05-01,2024-03-01,10,same_horizon_past_rmse,5,0.2694422277186411,0.1586587336176586,0.3523321309091551,0.21956690775454527
vacancies,2023-05-01,2024-04-01,11,same_horizon_past_rmse,5,0.25995822057109863,0.15657443364891882,0.3243342486273251,0.2591330971526575
vacancies,2023-05-01,2024-05-01,12,same_horizon_past_rmse,5,0.25753223335878594,0.14994754151008136,0.34289448855947313,0.2496257365716596
vacancies,2023-06-01,2023-07-01,1,same_horizon_past_rmse,6,0.4300261203661555,0.22824992035464842,0.2994448266282867,0.042279132650909323
vacancies,2023-06-01,2023-08-01,2,same_horizon_past_rmse,6,0.4107178272545838,0.21482818130093706,0.3210995945642902,0.05335439688018901
vacancies,2023-06-01,2023-09-01,3,same_horizon_past_rmse,6,0.408035626810414,0.20843877463133337,0.32452514660635556,0.0590004519518971
vacancies,2023-06-01,2023-10-01,4,same_horizon_past_rmse,6,0.3633336194126524,0.22380674178345095,0.32552701157823266,0.08733262722566407
vacancies,2023-06-01,2023-11-01,5,same_horizon_past_rmse,6,0.33456669462241007,0.21135980330701087,0.35372141216529585,0.10035208990528317
vacancies,2023-06-01,2023-12-01,6,same_horizon_past_rmse,6,0.311317014015593,0.1893040659561502,0.385067237020225,0.11431168300803168
vacancies,2023-06-01,2024-01-01,7,same_horizon_past_rmse,6,0.30126053330169184,0.191152860080146,0.3418413645247667,0.16574524209339553
vacancies,2023-06-01,2024-02-01,8,same_horizon_past_rmse,6,0.2913989547448901,0.18385296012771202,0.3338037370502626,0.1909443480771354
vacancies,2023-06-01,2024-03-01,9,same_horizon_past_rmse,6,0.28049029278704907,0.16720053944742655,0.34044318812446034,0.21186597964106413
vacancies,2023-06-01,2024-04-01,10,same_horizon_past_rmse,6,0.2737099625127424,0.16615029237735215,0.330569785162106,0.22956995994779955
vacancies,2023-06-01,2024-05-01,11,same_horizon_past_rmse,6,0.2688710307824711,0.16411814852840662,0.32847939372139806,0.23853142696772425
vacancies,2023-06-01,2024-06-01,12,same_horizon_past_rmse,6,0.26543468250576746,0.157670702748175,0.33728811145597987,0.23960650329007765
vacancies,2023-07-01,2023-08-01,1,same_horizon_past_rmse,7,0.4220518223691532,0.19722912193059722,0.3345848942043705,0.046134161495878956
vacancies,2023-07-01,2023-09-01,2,same_horizon_past_rmse,7,0.4107750767986755,0.1943596623957506,0.34025296060907423,0.05461230019649976
vacancies,2023-07-01,2023-10-01,3,same_horizon_past_rmse,7,0.37132600413620426,0.20412973690253342,0.3510693026053653,0.07347495635589707
vacancies,2023-07-01,2023-11-01,4,same_horizon_past_rmse,7,0.3517565706760667,0.21104452065655466,0.34838089005020423,0.0888180186171744
vacancies,2023-07-01,2023-12-01,5,same_horizon_past_rmse,7,0.3274450209425252,0.19783839832070674,0.36917162114900637,0.10554495958776172
vacancies,2023-07-01,2024-01-01,6,same_horizon_past_rmse,7,0.3081931657967223,0.18800164591861185,0.3591698337566095,0.14463535452805643
vacancies,2023-07-01,2024-02-01,7,same_horizon_past_rmse,7,0.30204149344094633,0.1829062156461767,0.3455674401251596,0.16948485078771747
vacancies,2023-07-01,2024-03-01,8,same_horizon_past_rmse,7,0.2937713287521005,0.17791962707721715,0.3353027918129246,0.1930062523577578
vacancies,2023-07-01,2024-04-01,9,same_horizon_past_rmse,7,0.28138120897155167,0.16669985741996515,0.33850685327798324,0.2134120803304999
vacancies,2023-07-01,2024-05-01,10,same_horizon_past_rmse,7,0.2787513321914198,0.1668917915348439,0.3392741667074311,0.21508270956630532
vacancies,2023-07-01,2024-06-01,11,same_horizon_past_rmse,7,0.27259917611137496,0.16402139234046517,0.3351750119623057,0.22820441958585416
vacancies,2023-07-01,2024-07-01,12,same_horizon_past_rmse,7,0.2686017348728971,0.15714977810102618,0.33740004445681687,0.23684844256925985
vacancies,2023-08-01,2023-09-01,1,same_horizon_past_rmse,8,0.4385410442208455,0.1666247089081328,0.3480597413801981,0.04677450549082366
vacancies,2023-08-01,2023-10-01,2,same_horizon_past_rmse,8,0.4060324090783919,0.17025762607963918,0.3612605696527916,0.06244939518917742
vacancies,2023-08-01,2023-11-01,3,same_horizon_past_rmse,8,0.3741648933362213,0.1825753537845695,0.36800680188044244,0.07525295099876665
vacancies,2023-08-01,2023-12-01,4,same_horizon_past_rmse,8,0.35487508654018635,0.18711706143250756,0.36474081216450494,0.09326703986280123
vacancies,2023-08-01,2024-01-01,5,same_horizon_past_rmse,8,0.3288264903700945,0.18079015832946765,0.36471846921325063,0.12566488208718724
vacancies,2023-08-01,2024-02-01,6,same_horizon_past_rmse,8,0.3115235727369522,0.17314071635149586,0.36477289030415044,0.1505628206074014
vacancies,2023-08-01,2024-03-01,7,same_horizon_past_rmse,8,0.30529945843207473,0.1708331138097208,0.3483570916088208,0.17551033614938363
vacancies,2023-08-01,2024-04-01,8,same_horizon_past_rmse,8,0.2947780048784158,0.1682439091691743,0.33682150539578604,0.20015658055662397
vacancies,2023-08-01,2024-05-01,9,same_horizon_past_rmse,8,0.28433533734485805,0.16045067282224282,0.3431129780241549,0.21210101180874427
vacancies,2023-08-01,2024-06-01,10,same_horizon_past_rmse,8,0.28105568097330413,0.1601116337385081,0.3421162889024447,0.21671639638574308
vacancies,2023-08-01,2024-07-01,11,same_horizon_past_rmse,8,0.27447107499681656,0.15649608941698923,0.3361037039448002,0.23292913164139392
vacancies,2023-08-01,2024-08-01,12,same_horizon_past_rmse,8,0.2701366757394887,0.15049359595059206,0.3349518529217558,0.2444178753881635
vacancies,2023-09-01,2023-10-01,1,same_horizon_past_rmse,9,0.4252453975134951,0.1504661522963578,0.37043236979092287,0.05385608039922433
vacancies,2023-09-01,2023-11-01,2,same_horizon_past_rmse,9,0.4052569650938443,0.15439536148289384,0.377226480802206,0.06312119262105585
vacancies,2023-09-01,2023-12-01,3,same_horizon_past_rmse,9,0.37409518465148495,0.16364113882407597,0.38385274978605183,0.0784109267383872
vacancies,2023-09-01,2024-01-01,4,same_horizon_past_rmse,9,0.35154720837080383,0.17464084760418214,0.36178089823296816,0.1120310457920459
vacancies,2023-09-01,2024-02-01,5,same_horizon_past_rmse,9,0.3321071445168981,0.1676522394547775,0.37015629820208257,0.13008431782624175
vacancies,2023-09-01,2024-03-01,6,same_horizon_past_rmse,9,0.31531473417193573,0.16296879567406133,0.36667017640080846,0.15504629375319462
vacancies,2023-09-01,2024-04-01,7,same_horizon_past_rmse,9,0.30667818255723334,0.1628640031379394,0.34949284759464516,0.18096496671018217
vacancies,2023-09-01,2024-05-01,8,same_horizon_past_rmse,9,0.298043105399725,0.16237550813559476,0.3418371469631293,0.197744239501551
vacancies,2023-09-01,2024-06-01,9,same_horizon_past_rmse,9,0.2871490039592911,0.15494356581604732,0.3460024605067113,0.21190496971795028
vacancies,2023-09-01,2024-07-01,10,same_horizon_past_rmse,9,0.28314193910531676,0.15360553130341037,0.34311478034331333,0.2201377492479595
vacancies,2023-09-01,2024-08-01,11,same_horizon_past_rmse,9,0.27611399607387466,0.15047804912535914,0.3349472488214339,0.23846070597933233
vacancies,2023-09-01,2024-09-01,12,same_horizon_past_rmse,9,0.27280428520302513,0.14558372787925072,0.33283365689495786,0.24877833002276628
vacancies,2023-10-01,2023-11-01,1,same_horizon_past_rmse,10,0.4405089760237293,0.13533171931538768,0.3689512303347826,0.05520807432610043
vacancies,2023-10-01,2023-12-01,2,same_horizon_past_rmse,10,0.4158487667027956,0.13362659738264368,0.3861982817329493,0.06432635418161144
vacancies,2023-10-01,2024-01-01,3,same_horizon_past_rmse,10,0.3813502783478109,0.14518194136762494,0.38342224529151836,0.09004553499304595
vacancies,2023-10-01,2024-02-01,4,same_horizon_past_rmse,10,0.3588585243751899,0.15759505418845549,0.3689514798217723,0.11459494161458234
vacancies,2023-10-01,2024-03-01,5,same_horizon_past_rmse,10,0.3381339857559611,0.1539037903836121,0.37524907494417137,0.13271314891625557
vacancies,2023-10-01,2024-04-01,6,same_horizon_past_rmse,10,0.31976839416232705,0.1511364619839312,0.3707458434243459,0.15834930042939577
vacancies,2023-10-01,2024-05-01,7,same_horizon_past_rmse,10,0.3106720395764081,0.15441824289530903,0.3541364282678366,0.18077328926044633
vacancies,2023-10-01,2024-06-01,8,same_horizon_past_rmse,10,0.3017747980537982,0.15361611260210503,0.34602933411585673,0.19857975522824006
vacancies,2023-10-01,2024-07-01,9,same_horizon_past_rmse,10,0.2907458726064643,0.1459454202991888,0.34880934125397567,0.21449936584037124
vacancies,2023-10-01,2024-08-01,10,same_horizon_past_rmse,10,0.2866092583400633,0.14484194572538822,0.3443395178596521,0.2242092780748964
vacancies,2023-10-01,2024-09-01,11,same_horizon_past_rmse,10,0.27937284730537176,0.1425092220959123,0.3365515346381388,0.24156639596057716
vacancies,2023-10-01,2024-10-01,12,same_horizon_past_rmse,10,0.2759722385988252,0.13814199026087237,0.33464393157555655,0.25124183956474583
vacancies,2023-11-01,2023-12-01,1,same_horizon_past_rmse,11,0.44928164455645897,0.11971648998806772,0.37553888137845876,0.05546298407701434
vacancies,2023-11-01,2024-01-01,2,same_horizon_past_rmse,11,0.4163039190667657,0.13406334695539462,0.36847768341692644,0.0811550505609132
vacancies,2023-11-01,2024-02-01,3,same_horizon_past_rmse,11,0.3885903710490325,0.13409459937103468,0.38541260306442554,0.09190242651550729
vacancies,2023-11-01,2024-03-01,4,same_horizon_past_rmse,11,0.3651419006234967,0.1472873992451411,0.37129617959350497,0.11627452053785717
vacancies,2023-11-01,2024-04-01,5,same_horizon_past_rmse,11,0.3430254216193705,0.1457425508389786,0.3761937258472506,0.1350383016944004
vacancies,2023-11-01,2024-05-01,6,same_horizon_past_rmse,11,0.3248672827073664,0.1454010962111471,0.3745476865925069,0.15518393448897963
vacancies,2023-11-01,2024-06-01,7,same_horizon_past_rmse,11,0.3156593004678583,0.14859875657309501,0.3570656609280731,0.17867628203097347
vacancies,2023-11-01,2024-07-01,8,same_horizon_past_rmse,11,0.30695113902674015,0.1475098154210069,0.34660943705178654,0.19892960850046637
vacancies,2023-11-01,2024-08-01,9,same_horizon_past_rmse,11,0.2955084546064442,0.1406199921090128,0.3474187498567266,0.2164528034278164
