target,origin,forecast_date,horizon,weight_source,n_past_origins,w_sarimax,w_tbats_prophet,w_var,w_bilstm
theta,2023-04-01,2023-10-01,6,same_horizon_past_rmse,4,0.23892667344754465,0.1434620990701779,0.5098450228941812,0.10776620458809631
theta,2023-04-01,2023-11-01,7,same_horizon_past_rmse,4,0.17228330745315873,0.1116811709722616,0.6105550730616087,0.1054804485129709
theta,2023-04-01,2023-12-01,8,same_horizon_past_rmse,4,0.19093790978672062,0.129371774435998,0.5275571300911274,0.15213318568615397
theta,2023-04-01,2024-01-01,9,same_horizon_past_rmse,4,0.1973611323072804,0.13602692101288955,0.4181506774416265,0.2484612692382037
theta,2023-04-01,2024-02-01,10,same_horizon_past_rmse,4,0.18713263114393142,0.1261234155697641,0.42079839901445115,0.2659455542718533
theta,2023-04-01,2024-03-01,11,same_horizon_past_rmse,4,0.18484432615747812,0.12224674587964793,0.3576937309625827,0.33521519700029123
theta,2023-04-01,2024-04-01,12,same_horizon_past_rmse,4,0.170991394578337,0.11328016514066659,0.3237963824756171,0.3919320578053794
theta,2023-05-01,2023-06-01,1,same_horizon_past_rmse,5,0.4648986524313124,0.21966838812472378,0.27857317924126246,0.03685978020270127
theta,2023-05-01,2023-07-01,2,same_horizon_past_rmse,5,0.43442831131134174,0.22160197814113725,0.2864004289380092,0.057569281609511684
theta,2023-05-01,2023-08-01,3,same_horizon_past_rmse,5,0.3897610449373731,0.22826406565264426,0.3056907335077249,0.07628415590225768
theta,2023-05-01,2023-09-01,4,same_horizon_past_rmse,5,0.3671803896846074,0.2144225233159084,0.32794609382102935,0.09045099317845488
theta,2023-05-01,2023-10-01,5,same_horizon_past_rmse,5,0.30426912545953305,0.2005994022166556,0.3706797212604411,0.12445175106337027
theta,2023-05-01,2023-11-01,6,same_horizon_past_rmse,5,0.2555881151202383,0.17551087976060364,0.42368256953513833,0.14521843558401976
theta,2023-05-01,2023-12-01,7,same_horizon_past_rmse,5,0.23594486492136565,0.16426408309093338,0.4240387312565665,0.17575232073113442
theta,2023-05-01,2024-01-01,8,same_horizon_past_rmse,5,0.2355244923830375,0.16853422767172832,0.34778589958099804,0.24815538036423607
theta,2023-05-01,2024-02-01,9,same_horizon_past_rmse,5,0.21220838480366444,0.14747918872333562,0.3570000542472952,0.28331237222570466
theta,2023-05-01,2024-03-01,10,same_horizon_past_rmse,5,0.20427264780924473,0.14009717567768873,0.3400852328070824,0.31554494370598424
theta,2023-05-01,2024-04-01,11,same_horizon_past_rmse,5,0.19126135795538965,0.13274115212195686,0.29545982646468044,0.38053766345797313
theta,2023-05-01,2024-05-01,12,same_horizon_past_rmse,5,0.18218684829767148,0.12582096343550608,0.2981835334887016,0.39380865477812077
