month,Employment,Labour force,Population,Unemployment,vacancies
2024-02,20607.7,21894.8,33373.5,1287.1,650790.0
2024-03,20614.5,21956.9,33469.5,1342.3,598770.0
2024-04,20700.5,22060.1,33578.9,1359.6,592725.0
2024-05,20698.3,22081.9,33685.5,1383.7,567895.0
2024-06,20715.9,22140.4,33788.3,1424.5,551125.0
2024-07,20712.9,22138.2,33899.8,1425.3,549300.0
2024-08,20742.6,22220.9,33995.1,1478.3,539530.0
2024-09,20779.3,22237.6,34089.8,1458.3,535770.0
2024-10,20782.6,22259.0,34163.7,1476.3,532230.0
2024-11,20826.4,22367.0,34225.2,1540.6,539315.0
2024-12,20917.4,22422.8,34285.1,1505.5,535090.0
