horizon,model,RMSE,MAE,MAPE,sMAPE,MASE,n_obs
1,SARIMAX,0.030478285484355456,0.02423549755435755,4.876742659064183,4.762006650913604,0.6861222755099387,25
1,TBATS_PROPHET,0.17158092135728337,0.15795328766570205,36.37753055302525,29.38914819462117,4.471757549618844,25
1,VAR,0.034733036767872136,0.026414765369265424,5.199287248594065,5.110052676805807,0.7478187267074639,25
1,BiLSTM_Attention,0.16240502802909373,0.1265557424788182,22.31807719715988,24.728538809557584,3.582873172447165,25
2,SARIMAX,0.0428969907962508,0.0342345622189336,6.997508734528145,6.690963548719655,1.0210064529510166,25
2,TBATS_PROPHET,0.18954438631662118,0.17719571960034738,41.539683816961016,32.95951559650504,5.284658585387022,25
2,VAR,0.04675017322340231,0.03550676891659495,7.2295882304613475,7.016366653540334,1.0589485548389548,25
2,BiLSTM_Attention,0.159007446062159,0.12340007101441783,22.942689132670207,24.783739408266786,3.6802652242082314,25
3,SARIMAX,0.055217085570669455,0.0427746206162152,9.050865499449618,8.50280348964646,1.3282602879186345,25
3,TBATS_PROPHET,0.20608565062894382,0.19455623628524799,46.30367565312134,36.15943217957718,6.041463809655528,25
3,VAR,0.05565165505040789,0.04596015523691555,9.488000885659384,9.123288695038841,1.4271792045919067,25
3,BiLSTM_Attention,0.1596917724728008,0.12231250046770967,23.415713229595525,25.096033334253555,3.7981128703617535,25
4,SARIMAX,0.07216327685849912,0.05967035244673239,12.778532108714577,11.871264180893617,1.9075860974506391,25
4,TBATS_PROPHET,0.2227589135296355,0.21363060757707444,51.21712635533817,39.48436844807034,6.829501759148341,25
4,VAR,0.06872354927874012,0.05886417939468181,12.571360716196809,11.95236524880224,1.8818137592094017,25
4,BiLSTM_Attention,0.1544949267952913,0.11730657197852266,23.42628285409623,24.67025852602938,3.7501435247191433,25
5,SARIMAX,0.08587081560986484,0.07082892978098196,15.392308575767919,14.069639224767599,2.3643476235598944,25
5,TBATS_PROPHET,0.24034199409179133,0.23421015673916146,56.67112822152136,43.074825501189736,7.818192781002791,25
5,VAR,0.07512260333586995,0.0646537214538548,14.592708146019492,13.609379208604322,2.1582123737632686,25
5,BiLSTM_Attention,0.14031849276020558,0.10877765303688372,22.845263316636093,23.75976687436033,3.6311177685369387,25
6,SARIMAX,0.10010387483031416,0.08168350419830325,17.991704517323186,16.089469339875013,2.917222898441764,25
6,TBATS_PROPHET,0.25806898905695735,0.2535168952276351,62.171635422195024,46.526238302784016,9.054034828188493,25
6,VAR,0.08331121769058336,0.0693057803539208,16.37599293509566,14.897281158240657,2.4751681680061033,25
6,BiLSTM_Attention,0.1293246220683222,0.10240543280340858,22.48331436793584,23.154934956742512,3.657280333783089,25
7,SARIMAX,0.11337564582846833,0.09255374825778175,20.864112797739818,18.280885548641123,3.4565145781586937,25
7,TBATS_PROPHET,0.27503325674883056,0.27117163207419054,67.70399252622597,49.79446971616699,10.127182497643666,25
7,VAR,0.09384131280887696,0.07426076342945509,18.268261180421725,16.154315046974084,2.773344313016778,25
7,BiLSTM_Attention,0.11981332334267504,0.09493633572570001,21.75565255944923,22.02976887291025,3.5454947488337942,25
8,SARIMAX,0.12486045060821456,0.10137583923546244,23.3514428607511,20.10178742175549,3.7590423469451797,25
8,TBATS_PROPHET,0.29099885020250993,0.28757695241388587,73.2084291128516,52.91099936006859,10.66342779780495,25
8,VAR,0.10291814207127703,0.08355398185899815,20.808452084113902,18.155446716263828,3.09820326453084,25
8,BiLSTM_Attention,0.11184371974500554,0.0897521100474398,21.29395999350179,21.315654719551695,3.3280314613463644,25
9,SARIMAX,0.13640833134667868,0.1116120300484385,26.222495526059316,22.281924756814337,4.42801447435223,25
9,TBATS_PROPHET,0.3069288727064053,0.303853474061045,78.72051640696132,55.94435713863248,12.054861654613733,25
9,VAR,0.10932111617008186,0.09178302821739784,23.274174983032434,20.181346068178037,3.641333082734325,25
9,BiLSTM_Attention,0.10515762897339881,0.08638867270886666,21.60800408194381,21.15958709773755,3.4273213470709623,25
10,SARIMAX,0.14622361599539524,0.11940863765141639,28.827576919352264,24.129942679860495,4.741229249106371,25
10,TBATS_PROPHET,0.321421197752445,0.3181206873113685,84.0731864075299,58.69731654507767,12.631273056054262,25
10,VAR,0.11834796690285673,0.10040979398557814,25.85740695244525,22.15744024979635,3.9868627722805368,25
10,BiLSTM_Attention,0.10507264260186876,0.08256809931638281,21.410190008323646,20.638328362223152,3.2784419554702993,25
11,SARIMAX,0.15591355015594374,0.126881791299263,31.302837526624728,25.869328286953102,5.499881541362968,25
11,TBATS_PROPHET,0.3355817986338211,0.33188601470917123,89.337594541016,61.32576095014651,14.386097070699947,25
11,VAR,0.12684932296803897,0.110598788771598,28.78642789427844,24.534004821516284,4.794070375530291,25
11,BiLSTM_Attention,0.10350140187413813,0.080570915391298,21.462046226185528,20.595797393514275,3.492467168012715,25
12,SARIMAX,0.16373199924103685,0.13363663362540443,33.613371760828414,27.475358021766557,6.485510954595084,25
12,TBATS_PROPHET,0.3493556643149232,0.345372135055574,95.11014292095417,64.08034517094009,16.761233088177768,25
12,VAR,0.13335723760839865,0.11860730001738334,31.092613492590367,26.301743228936463,5.756123322545701,25
12,BiLSTM_Attention,0.10595493288472622,0.08400346920555381,23.466778052161583,22.04895602104715,4.076767013480367,25
