horizon,model,RMSE,MAE,MAPE,sMAPE,MASE,n_obs
1,SARIMAX,35182.79373239971,27563.112468167496,2.086377333076423,2.106779824139402,0.9823503107158003,25
1,TBATS_PROPHET,35126.06649503762,27740.76599559173,2.097101711229021,2.1173566424054897,0.988681888764778,25
1,VAR,32894.206204299044,27098.132360965956,2.0726521015521824,2.077312738494914,0.9657784031232298,25
1,BiLSTM_Attention,83953.08529834867,68599.12344663653,5.215681641004028,5.417225316271203,2.4448752045133304,25
2,SARIMAX,52318.16847423275,40868.3019607924,3.1010898903743405,3.1654790738158334,1.458930904445958,25
2,TBATS_PROPHET,52383.52165628778,40991.7473311387,3.110071580669385,3.1754489322968404,1.4633377003530104,25
2,VAR,45049.60872334111,38274.988747883355,2.9561707201553937,2.968745640465701,1.3663539044313557,25
2,BiLSTM_Attention,91536.27952871934,75967.8629497054,5.684469291248204,5.9220190935496,2.711927280667752,25
3,SARIMAX,64170.85043476472,55651.25770623304,4.174946641802453,4.278059832957519,1.9301014233375622,25
3,TBATS_PROPHET,64435.97674353818,56146.84875521951,4.211996114007193,4.316892294500192,1.947289552204145,25
3,VAR,49100.66015993827,41659.54220715658,3.1849217106444296,3.200422368245279,1.4448396141210373,25
3,BiLSTM_Attention,100019.04654236269,85702.93711408388,6.325480479546535,6.601053810506771,2.9723562004884583,25
4,SARIMAX,77859.35070310238,70982.03568545645,5.306001012166587,5.474110492164579,2.3549472718426245,25
4,TBATS_PROPHET,78392.25122101021,71503.10456371613,5.344313615638843,5.515217304545776,2.3722345998468164,25
4,VAR,55788.299001580606,48728.952670348575,3.6765668873026147,3.7217574225112617,1.616664174852593,25
4,BiLSTM_Attention,112162.76889483373,96678.38149450319,7.014400009863421,7.350900979653262,3.20746634761968,25
5,SARIMAX,93813.37308124435,87961.25168971739,6.544950107379079,6.797648781965372,2.972082275873881,25
5,TBATS_PROPHET,94405.04096182971,88483.10456371613,6.5828821694580935,6.838801701473571,2.9897149226090205,25
5,VAR,62208.65189676282,53666.81161197344,3.976773876872069,4.066142609625599,1.8133232136947242,25
5,BiLSTM_Attention,128842.55566194122,108745.92116457182,7.738790132249833,8.16721426922711,3.6743659129237276,25
6,SARIMAX,113405.61294843981,104045.13486964596,7.6644461444876075,8.031759273384957,3.6137239317966756,25
6,TBATS_PROPHET,113894.07523615782,104567.10456371613,7.702559592669707,8.072922653168927,3.631853125223136,25
6,VAR,75935.32942577533,64814.13196905101,4.710007860335268,4.854653253101211,2.2511420654952596,25
6,BiLSTM_Attention,143943.44777093313,121104.50452954003,8.506943419163967,9.02892129006662,4.206234600157686,25
7,SARIMAX,131419.76925871658,122121.11746174465,8.86859465611728,9.352388429908036,4.288086055715979,25
7,TBATS_PROPHET,131928.54901826184,122643.10456371613,8.905940475036338,9.393521098006664,4.306414790825438,25
7,VAR,89331.27958877201,78492.67480957732,5.63583802460337,5.834153526897604,2.7561436655886697,25
7,BiLSTM_Attention,154742.20183011028,129225.4732615047,8.939103433853113,9.535568873359125,4.537544050147933,25
8,SARIMAX,146304.71030119108,137917.11486756653,9.916205944228505,10.509659786994664,4.687072722772014,25
8,TBATS_PROPHET,146907.43232077322,138439.10456371613,9.952562251360106,10.550737084112464,4.704812389591033,25
8,VAR,97992.33708400959,87039.59875079333,6.180185160806219,6.427212487164069,2.9580152506641744,25
8,BiLSTM_Attention,165895.37197153652,141300.01374253616,9.675073059888016,10.349512287687256,4.802039549448978,25
9,SARIMAX,162932.11867991858,153805.99405839964,10.94980853758438,11.67779497809085,5.307467803596824,25
9,TBATS_PROPHET,163525.48784969392,154526.09144536668,10.998403713401991,11.731421275884758,5.332316599121208,25
9,VAR,112859.94814787517,97099.2748126929,6.805582567463906,7.135756241216922,3.3506579374617242,25
9,BiLSTM_Attention,181882.50114477478,154234.14685575885,10.442792331551079,11.232271816652329,5.3222423070283424,25
10,SARIMAX,180237.4035710922,168577.99394693755,11.878811004433846,12.75870160587954,5.894335452690124,25
10,TBATS_PROPHET,180778.1957885196,169298.09144536668,11.92736587296095,12.81232088185684,5.919513686900933,25
10,VAR,130534.11609697895,113707.5717143113,7.865981600987508,8.295188096187188,3.9757892207801153,25
10,BiLSTM_Attention,197392.43533286607,166017.40515290145,11.160269808647161,12.053347758023127,5.804804375975575,25
11,SARIMAX,195134.36737547544,181326.08326163917,12.649702495582357,13.666792444054101,5.914414240662327,25
11,TBATS_PROPHET,195619.0171260241,181724.98261529996,12.67730328580571,13.699572494659822,5.927425363913018,25
11,VAR,144804.92622709635,132443.16527318186,9.08435459549319,9.585693439289749,4.3199727732486615,25
11,BiLSTM_Attention,203500.06562674404,169939.2872925179,11.35218555946485,12.300748803815077,5.543004749959812,25
12,SARIMAX,209450.1464389893,197881.1144134652,13.674365452478233,14.817777001916738,5.984307895568504,25
12,TBATS_PROPHET,209973.19026026851,198403.10456371613,13.708975303170856,14.858737229123395,6.000093888015609,25
12,VAR,159063.6317948059,144140.64639411544,9.80631425684223,10.41534296474468,4.359092128854297,25
12,BiLSTM_Attention,208421.84956169795,170313.29299360473,11.255869940499355,12.260603649961176,5.150603618758208,25
