model,RMSE,MAE,MAPE,sMAPE,MASE,n_obs,rank_RMSE,rank_MAE,rank_MAPE,rank_sMAPE,rank_MASE,average_rank
VAR,0.09265830922791084,0.07332658558380366,17.79535622907574,15.766085814391436,1.9800065431299088,300,1.0,1.0,1.0,1.0,1.0,1.0
SARIMAX,0.1110443140249351,0.0832413455777742,19.272458290516937,16.677114429217255,2.247730582171493,300,2.0,2.0,2.0,2.0,2.0,2.0
BiLSTM_Attention,0.13176515351213564,0.10158146451458348,22.368997584971613,22.831780364682857,2.7429609983642806,300,3.0,3.0,3.0,3.0,3.0,3.0
TBATS_PROPHET,0.2699272833117344,0.2574203165600336,65.20288682814176,47.528898091981645,6.951011110982644,300,4.0,4.0,4.0,4.0,4.0,4.0
