model,RMSE,MAE,MAPE,sMAPE,MASE,n_obs,rank_RMSE,rank_MAE,rank_MAPE,rank_sMAPE,rank_MASE,average_rank
SARIMAX,80467.09634993879,60368.07212230176,10.390990118249304,9.633702683852906,1.5891250958704641,300,2.0,1.0,1.0,1.0,1.0,1.2
VAR,80394.51260194338,65310.62333410964,11.60145497731474,10.736951425764609,1.719232483636575,300,1.0,2.0,2.0,2.0,2.0,1.8
BiLSTM_Attention,153854.671479003,122817.78323461051,19.466997326345066,22.16491559145183,3.2330471173883266,300,3.0,3.0,3.0,3.0,3.0,3.0
TBATS_PROPHET,298350.4466790169,283393.5210553195,51.51279796634566,39.7175595468923,7.460032107762659,300,4.0,4.0,4.0,4.0,4.0,4.0
