model,RMSE,MAE,MAPE,sMAPE,MASE,n_obs,rank_RMSE,rank_MAE,rank_MAPE,rank_sMAPE,rank_MASE,average_rank
VAR,96565.8671702398,77263.79094350425,5.496279113588198,5.715198398995348,1.9297553746519014,300,1.0,1.0,1.0,1.0,1.0,1.0
SARIMAX,134000.0573408096,112391.7093658138,8.067941601642591,8.553079293772633,2.8071170540102517,300,2.0,2.0,2.0,2.0,2.0,2.0
TBATS_PROPHET,134450.48767341534,112872.26291419,8.101622973784016,8.590245799336229,2.819119452306565,300,3.0,3.0,3.0,3.0,3.0,3.0
BiLSTM_Attention,153757.0629833219,123985.69583315539,8.60925492558163,9.184948995731054,3.096690700679408,300,4.0,4.0,4.0,4.0,4.0,4.0
