month,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,ensemble_pred,rf_hybrid_pred,chronos_uni_pred,chronos_mv_pred
2023-01-01,788280.0,747093.599955125,814798.7687985093,722762.0007747647,0.423973490251788,711614.9422801242,,,
2023-02-01,747720.0,734877.7993129727,817307.1980406381,728797.1709264433,0.4209047728512977,725408.8681218624,,,
2023-02-01,747720.0,734877.7993129727,817307.1980406381,728797.1709264433,0.4209047728512977,706522.3353203842,,,
2023-03-01,790370.0,781236.4007849252,829715.7989375609,766594.9953887041,0.4178551926720936,727397.1555406551,,,
2023-03-01,790370.0,781236.4007849252,829715.7989375609,766594.9953887041,0.4178551926720936,751420.3770341662,,,
2023-03-01,790370.0,781236.4007849252,829715.7989375609,766594.9953887041,0.4178551926720936,735896.7468181079,,,
2023-04-01,839950.0,788138.7755515557,858769.783616485,760760.338829302,0.4177312873455782,731716.2231208883,,,
2023-04-01,839950.0,788138.7755515557,858769.783616485,760760.338829302,0.4177312873455782,757083.9871407211,,,
2023-04-01,839950.0,788138.7755515557,858769.783616485,760760.338829302,0.4177312873455782,739457.4536062694,,,
2023-04-01,839950.0,788138.7755515557,858769.783616485,760760.338829302,0.4177312873455782,793095.4821354141,,,
2023-05-01,812510.0,773884.952621118,861678.7671582951,733860.6177044661,0.4190259192204845,809965.5298256638,,,
2023-05-01,812510.0,773884.952621118,861678.7671582951,733860.6177044661,0.4190259192204845,727112.4781008768,,,
2023-05-01,812510.0,773884.952621118,861678.7671582951,733860.6177044661,0.4190259192204845,781680.7301712531,,,
2023-05-01,812510.0,773884.952621118,861678.7671582951,733860.6177044661,0.4190259192204845,719150.9696264698,,,
2023-05-01,812510.0,773884.952621118,861678.7671582951,733860.6177044661,0.4190259192204845,745368.1156585213,,,
2023-06-01,779410.0,759655.1798918741,861327.3484531475,718687.061099276,0.4189507886733166,708878.6123664194,,,
2023-06-01,779410.0,759655.1798918741,861327.3484531475,718687.061099276,0.4189507886733166,738032.3187224433,,,
2023-06-01,779410.0,759655.1798918741,861327.3484531475,718687.061099276,0.4189507886733166,719233.5557551085,,,
2023-06-01,779410.0,759655.1798918741,861327.3484531475,718687.061099276,0.4189507886733166,776757.9101140437,,,
