month,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,ensemble_pred,rf_hybrid_pred,chronos_uni_pred,chronos_mv_pred
2023-01-01,1083700.0,1049994.519288581,1050283.129621511,1049085.6102249422,0.423973490251788,1053873.7426025984,,,
2023-02-01,1096300.0,1049833.1500655073,1050283.129621511,1065547.6403194324,0.4209047728512977,1090014.486865447,,,
2023-02-01,1096300.0,1049833.1500655073,1050283.129621511,1065547.6403194324,0.4209047728512977,1060383.320804132,,,
2023-03-01,1079200.0,1049809.582545039,1050283.129621511,1103972.529069014,0.4178551926720936,1072938.82349735,,,
2023-03-01,1079200.0,1049809.582545039,1050283.129621511,1103972.529069014,0.4178551926720936,1101501.7621745924,,,
2023-03-01,1079200.0,1049809.582545039,1050283.129621511,1103972.529069014,0.4178551926720936,1099132.6462014928,,,
2023-04-01,1080700.0,1049806.140316181,1050283.129621511,1130547.000105094,0.4177312873455782,1082605.0581088343,,,
2023-04-01,1080700.0,1049806.140316181,1050283.129621511,1130547.000105094,0.4177312873455782,1110986.531971373,,,
2023-04-01,1080700.0,1049806.140316181,1050283.129621511,1130547.000105094,0.4177312873455782,1109941.0792056925,,,
2023-04-01,1080700.0,1049806.140316181,1050283.129621511,1130547.000105094,0.4177312873455782,1087902.8925473397,,,
2023-05-01,1111300.0,1049805.6375450185,1050283.129621511,1159673.3712930526,0.4190259192204845,1070992.1576019763,,,
2023-05-01,1111300.0,1049805.6375450185,1050283.129621511,1159673.3712930526,0.4190259192204845,1120784.764605233,,,
2023-05-01,1111300.0,1049805.6375450185,1050283.129621511,1159673.3712930526,0.4190259192204845,1098195.2362859407,,,
2023-05-01,1111300.0,1049805.6375450185,1050283.129621511,1159673.3712930526,0.4190259192204845,1093151.4030832192,,,
2023-05-01,1111300.0,1049805.6375450185,1050283.129621511,1159673.3712930526,0.4190259192204845,1120522.9894528715,,,
2023-06-01,1153200.0,1049805.5641102584,1050283.129621511,1171418.159106623,0.4189507886733166,1099705.603282339,,,
2023-06-01,1153200.0,1049805.5641102584,1050283.129621511,1171418.159106623,0.4189507886733166,1126095.4428304553,,,
2023-06-01,1153200.0,1049805.5641102584,1050283.129621511,1171418.159106623,0.4189507886733166,1128385.4775508286,,,
