origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,w_sarimax,w_tbats_prophet,w_var,w_bilstm,ensemble_pred,residual,rf_residual_pred,final_hybrid_pred,rf_model_used
2022-12-01,2023-01-01,1,0.7273968810556427,0.7103331561374528,0.7757896378780615,0.6889447283713975,0.423973490251788,0.25,0.25,0.25,0.25,0.6497602531596749,0.07763662789596781,0.0,0.6497602531596749,fallback_zero
2022-12-01,2023-02-01,2,0.6820395877040956,0.6990139200253879,0.7781779741003455,0.6839648865516353,0.414516808573205,0.25,0.25,0.25,0.25,0.6439183973126434,0.03812119039145212,0.0,0.6439183973126434,fallback_zero
2022-12-01,2023-03-01,3,0.7323665678280208,0.7438482017726549,0.789992503484812,0.694396803546532,0.4055781501276119,0.25,0.25,0.25,0.25,0.6584539147329027,0.07391265309511807,0.0,0.6584539147329027,fallback_zero
2022-12-01,2023-04-01,4,0.7772277227722773,0.7504852227957982,0.8176555058310405,0.6729135000655283,0.3975443697351347,0.25,0.25,0.25,0.25,0.6596496496068754,0.11757807316540181,0.0,0.6596496496068754,fallback_zero
2022-12-01,2023-05-01,5,0.731134707099793,0.7371716623225801,0.8204252195013519,0.632816649817699,0.3902770830567841,0.25,0.25,0.25,0.25,0.6451726536746039,0.08596205342518914,0.0,0.6451726536746039,fallback_zero
2022-12-01,2023-06-01,6,0.6758671522719389,0.7233651704958355,0.8200906252426835,0.6135187981441056,0.3836425446532671,0.25,0.25,0.25,0.25,0.6351542846339728,0.04071286763796611,0.0,0.6351542846339728,fallback_zero
2022-12-01,2023-07-01,7,0.6331939941989422,0.7295747020152803,0.8237997980039623,0.5922524598419204,0.378346055319802,0.25,0.25,0.25,0.25,0.6309932537952413,0.002200740403700885,0.0,0.6309932537952413,fallback_zero
2022-12-01,2023-08-01,8,0.6369666008414184,0.7305404083546808,0.8291443950998215,0.6001543858478626,0.3739186133587242,0.25,0.25,0.25,0.25,0.6334394506652722,0.003527150176146243,0.0,0.6334394506652722,fallback_zero
2022-12-01,2023-09-01,9,0.5873963094633485,0.7479644474725262,0.8430541457526304,0.6036165556564279,0.3700401559289669,0.25,0.25,0.25,0.25,0.6411688262026378,-0.05377251673928929,0.0,0.6411688262026378,fallback_zero
2022-12-01,2023-10-01,10,0.5760417509507242,0.74922871488162,0.8422199903513674,0.5865275470003596,0.3678883486815684,0.25,0.25,0.25,0.25,0.6364661502287288,-0.06042439927800458,0.0,0.6364661502287288,fallback_zero
2022-12-01,2023-11-01,11,0.5238689858772839,0.7182527587041111,0.8333895569596594,0.5578725377449288,0.3657994581634116,0.25,0.25,0.25,0.25,0.6188285778930277,-0.09495959201574378,0.0,0.6188285778930277,fallback_zero
2022-12-01,2023-12-01,12,0.423118024222275,0.6834235609305611,0.8224251988918792,0.5316993153665475,0.3638583685680525,0.25,0.25,0.25,0.25,0.60035161093926,-0.17723358671698503,0.0,0.60035161093926,fallback_zero
2023-01-01,2023-02-01,1,0.6820395877040956,0.7057341711673912,0.7525393274626433,0.7099077095180037,0.4404300916783962,0.25,0.25,0.25,0.25,0.6521528249566085,0.029886762747487028,0.0,0.6521528249566085,fallback_zero
2023-01-01,2023-03-01,2,0.7323665678280208,0.7570854061120047,0.7639648734710734,0.7253216268999308,0.4354988936513371,0.25,0.25,0.25,0.25,0.6704677000335866,0.06189886779443421,0.0,0.6704677000335866,fallback_zero
2023-01-01,2023-04-01,3,0.7772277227722773,0.7653977040231074,0.790754078393018,0.7000798626268403,0.4307102114591898,0.25,0.25,0.25,0.25,0.6717354641255389,0.10549225864673839,0.0,0.6717354641255389,fallback_zero
