target,origin,feature,importance
vacancies,2023-07-01,pred_mean,0.013477349992157987
vacancies,2023-07-01,pred_std,0.12610215830564303
vacancies,2023-07-01,pred_range,0.13077068326161728
vacancies,2023-07-01,sarimax_minus_var,0.015017938362325105
vacancies,2023-07-01,tbats_minus_bilstm,0.1312599889451881
vacancies,2023-07-01,ensemble_minus_predmean,0.005373458555705888
vacancies,2023-07-01,w_sarimax,0.006642648392991724
vacancies,2023-07-01,w_tbats_prophet,0.03307991601516509
vacancies,2023-07-01,w_var,0.045994640225268286
vacancies,2023-07-01,w_bilstm,0.0063916203890983635
vacancies,2023-07-01,weight_entropy_proxy,0.006035071660785265
vacancies,2023-07-01,past_resid_mean_all,0.030158684013340906
vacancies,2023-07-01,past_resid_std_all,0.013975178638871441
vacancies,2023-07-01,past_resid_mean_h,0.05515163802733589
vacancies,2023-07-01,past_resid_std_h,0.019572126692940624
vacancies,2023-07-01,past_resid_mean_fmonth,0.06786808320879355
vacancies,2023-08-01,horizon,0.027532748528131232
vacancies,2023-08-01,origin_month,0.0066943061854397015
vacancies,2023-08-01,origin_quarter,0.004747834880606921
vacancies,2023-08-01,forecast_month,0.04648562230929919
vacancies,2023-08-01,forecast_quarter,0.011202032456428224
vacancies,2023-08-01,forecast_year,0.00456732157995586
vacancies,2023-08-01,origin_index,0.030641318519672653
vacancies,2023-08-01,ensemble_pred,0.013722138750725041
vacancies,2023-08-01,sarimax_pred,0.012954826302767588
vacancies,2023-08-01,tbats_prophet_pred,0.10127638782258208
vacancies,2023-08-01,var_pred,0.008709214007897434
vacancies,2023-08-01,bilstm_pred,0.04521971733072087
vacancies,2023-08-01,pred_mean,0.01795333884196066
vacancies,2023-08-01,pred_std,0.061730600246842085
vacancies,2023-08-01,pred_range,0.07555630673654018
vacancies,2023-08-01,sarimax_minus_var,0.017392158491775535
vacancies,2023-08-01,tbats_minus_bilstm,0.09538953152809528
vacancies,2023-08-01,ensemble_minus_predmean,0.006197614354689051
