origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,w_sarimax,w_tbats_prophet,w_var,w_bilstm,ensemble_pred,residual,rf_residual_pred,final_hybrid_pred,rf_model_used
2022-12-01,2023-01-01,1,788280.0,745844.4511254468,814798.7687985093,722762.0007747647,563054.548421776,0.25,0.25,0.25,0.25,711614.9422801242,76665.05771987583,0.0,711614.9422801242,fallback_zero
2022-12-01,2023-02-01,2,747720.0,733846.1167399171,817307.1980406381,728797.1709264433,546138.8555745383,0.25,0.25,0.25,0.25,706522.3353203842,41197.66467961576,0.0,706522.3353203842,fallback_zero
2022-12-01,2023-03-01,3,790370.0,780896.8828311403,829715.7989375609,766594.9953887041,532380.945005215,0.25,0.25,0.25,0.25,727397.1555406551,62972.844459344866,0.0,727397.1555406551,fallback_zero
2022-12-01,2023-04-01,4,839950.0,787861.8697369224,858769.783616485,760760.338829302,519472.9003008442,0.25,0.25,0.25,0.25,731716.2231208883,108233.77687911165,0.0,731716.2231208883,fallback_zero
2022-12-01,2023-05-01,5,812510.0,773884.875795782,861678.7671582951,733860.6177044661,507179.617847336,0.25,0.25,0.25,0.25,719150.9696264698,93359.03037353023,0.0,719150.9696264698,fallback_zero
2022-12-01,2023-06-01,6,779410.0,759390.7282868505,861327.3484531475,718687.061099276,496109.3116264034,0.25,0.25,0.25,0.25,708878.6123664194,70531.3876335806,0.0,708878.6123664194,fallback_zero
2022-12-01,2023-07-01,7,742230.0,765909.5034781744,865223.0300291702,701863.5194736369,486905.2659422753,0.25,0.25,0.25,0.25,704975.3297308143,37254.67026918568,0.0,704975.3297308143,fallback_zero
2022-12-01,2023-08-01,8,741875.0,766923.3034541054,870836.3701935753,712530.700944118,479131.0519120211,0.25,0.25,0.25,0.25,707355.3566259549,34519.64337404515,0.0,707355.3566259549,fallback_zero
2022-12-01,2023-09-01,9,693950.0,785215.1068366352,885445.5466414622,723064.0941694739,470964.9648146915,0.25,0.25,0.25,0.25,716172.4281155657,-22222.42811556568,0.0,716172.4281155657,fallback_zero
2022-12-01,2023-10-01,10,711930.0,786542.338168248,884569.447296033,708904.3384739746,464568.0285792728,0.25,0.25,0.25,0.25,711146.0381293821,783.9618706179317,0.0,711146.0381293821,fallback_zero
2022-12-01,2023-11-01,11,656565.0,754023.6953057863,875294.9920774756,678226.0334302984,459706.84654692863,0.25,0.25,0.25,0.25,691812.8918401222,-35247.891840122174,0.0,691812.8918401222,fallback_zero
2022-12-01,2023-12-01,12,534525.0,717459.9089619807,863779.3117717565,649365.4893841048,456940.4219148767,0.25,0.25,0.25,0.25,671886.2830081796,-137361.28300817963,0.0,671886.2830081796,fallback_zero
2023-01-01,2023-02-01,1,747720.0,768218.9569699689,819588.1752151398,780058.221629577,533770.118672764,0.25,0.25,0.25,0.25,725408.8681218624,22311.13187813759,0.0,725408.8681218624,fallback_zero
