target,origin,feature,importance
unemployment,2023-07-01,pred_mean,0.024607672828739026
unemployment,2023-07-01,pred_std,0.021354936992881095
unemployment,2023-07-01,pred_range,0.02071846280304052
unemployment,2023-07-01,sarimax_minus_var,0.03758017579488667
unemployment,2023-07-01,tbats_minus_bilstm,0.02256650564818569
unemployment,2023-07-01,ensemble_minus_predmean,0.01666093872867149
unemployment,2023-07-01,w_sarimax,0.0656622921667105
unemployment,2023-07-01,w_tbats_prophet,0.0709724809344875
unemployment,2023-07-01,w_var,0.011598042860669526
unemployment,2023-07-01,w_bilstm,0.028177397466712162
unemployment,2023-07-01,weight_entropy_proxy,0.021683720132934927
unemployment,2023-07-01,past_resid_mean_all,0.05744763463196584
unemployment,2023-07-01,past_resid_std_all,0.017428889314754368
unemployment,2023-07-01,past_resid_mean_h,0.08673794443294146
unemployment,2023-07-01,past_resid_std_h,0.015742229553254838
unemployment,2023-07-01,past_resid_mean_fmonth,0.02992511365576509
unemployment,2023-08-01,horizon,0.0803880403137372
unemployment,2023-08-01,origin_month,0.025603444982197986
unemployment,2023-08-01,origin_quarter,0.024105560790079927
unemployment,2023-08-01,forecast_month,0.034073542525215904
unemployment,2023-08-01,forecast_quarter,0.021262399906546655
unemployment,2023-08-01,forecast_year,0.03744216272174629
unemployment,2023-08-01,origin_index,0.04949280274964438
unemployment,2023-08-01,ensemble_pred,0.03367030984737193
unemployment,2023-08-01,sarimax_pred,0.033825492322779066
unemployment,2023-08-01,tbats_prophet_pred,0.011553522041531476
unemployment,2023-08-01,var_pred,0.015858770498910362
unemployment,2023-08-01,bilstm_pred,0.05431363936833218
unemployment,2023-08-01,pred_mean,0.02900539962061897
unemployment,2023-08-01,pred_std,0.014945353038358165
unemployment,2023-08-01,pred_range,0.019395613438587186
unemployment,2023-08-01,sarimax_minus_var,0.027540536470356276
unemployment,2023-08-01,tbats_minus_bilstm,0.021477383981523185
unemployment,2023-08-01,ensemble_minus_predmean,0.012496537854949316
unemployment,2023-08-01,w_sarimax,0.07557769445009799
unemployment,2023-08-01,w_tbats_prophet,0.07710484490603006
unemployment,2023-08-01,w_var,0.011627984831056364
unemployment,2023-08-01,w_bilstm,0.03483944463673993
unemployment,2023-08-01,weight_entropy_proxy,0.02092234280975188
unemployment,2023-08-01,past_resid_mean_all,0.050511912535956556
unemployment,2023-08-01,past_resid_std_all,0.019208218992701413
