month,forecast,lower_80,upper_80,lower_95,upper_95
2026-01-01,0.2665362126558055,0.23514069699093798,0.29793172832067305,0.21846182929397712,0.3146105960176339
2026-02-01,0.2654616266640434,0.23406611099917585,0.2968571423289109,0.21738724330221498,0.3135360100258718
2026-03-01,0.26526009129246386,0.23386457562759633,0.2966556069573314,0.21718570793063546,0.31333447465429226
2026-04-01,0.26522229393952135,0.2338267782746538,0.2966178096043889,0.21714791057769295,0.31329667730134975
2026-05-01,0.26521520515962993,0.2338196894947624,0.29661072082449746,0.21714082179780153,0.31328958852145833
2026-06-01,0.26521387568027655,0.233818360015409,0.2966093913451441,0.21713949231844815,0.31328825904210494
2026-07-01,0.26521362634042145,0.23381811067555391,0.296609142005289,0.21713924297859305,0.31328800970224985
2026-08-01,0.2652135795774814,0.23381806391261384,0.2966090952423489,0.21713919621565297,0.31328796293930977
2026-09-01,0.26521357080723257,0.23381805514236503,0.2966090864721001,0.21713918744540417,0.31328795416906097
2026-10-01,0.2652135691623988,0.23381805349753126,0.29660908482726633,0.2171391858005704,0.3132879525242272
2026-11-01,0.26521356885391517,0.23381805318904764,0.2966090845187827,0.21713918549208677,0.31328795221574357
2026-12-01,0.26521356879606,0.23381805313119247,0.29660908446092754,0.2171391854342316,0.3132879521578884
