month,unemployment_forecast,vacancies_forecast,theta_forecast
2026-01-01,1558207.8376780683,420509.875265782,0.2665362126558055
2026-02-01,1553362.0970911307,420666.6394657883,0.2654616266640434
2026-03-01,1556970.238995934,420654.1338909636,0.26526009129246386
2026-04-01,1554283.6139544924,420655.1315001224,0.26522229393952135
2026-05-01,1556284.0768807682,420655.05191769236,0.26521520515962993
2026-06-01,1554794.5307559182,420655.0582662339,0.26521387568027655
2026-07-01,1555903.6478652195,420655.0577597907,0.26521362634042145
2026-08-01,1555077.7984728292,420655.0578001913,0.2652135795774814
2026-09-01,1555692.726520726,420655.0577969684,0.26521357080723257
2026-10-01,1555234.850656707,420655.0577972255,0.2652135691623988
2026-11-01,1555575.7853523483,420655.057797205,0.26521356885391517
2026-12-01,1555321.9251342714,420655.0577972066,0.26521356879606
