target,model,mean_error_bias,median_error_bias,mean_signed_percentage_error,overprediction_share,underprediction_share
vacancies,SARIMAX,-46771.68027157609,-34213.263381666446,-8.032384875438849,0.77,0.23
vacancies,TBATS_PROPHET,-283393.5210553195,-306964.1040178097,-51.51279796634565,1.0,0.0
vacancies,VAR,-52054.96158645651,-49571.80940429319,-9.547927156879542,0.8,0.2
vacancies,BiLSTM_Attention,95953.90597016881,82009.97923974172,13.91335942507123,0.24,0.76
