model,BiLSTM_Attention,SARIMAX,TBATS_PROPHET,VAR
BiLSTM_Attention,1.0,0.11207729496458384,0.11316749155086979,0.3322434360455178
SARIMAX,0.11207729496458384,1.0,0.9999499001346784,0.8400843656597111
TBATS_PROPHET,0.11316749155086979,0.9999499001346784,1.0,0.8407686589612469
VAR,0.3322434360455178,0.8400843656597111,0.8407686589612469,1.0
