target,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE,median_abs_error,std_error
vacancies,VAR,300,-52054.96158645651,65310.62333410964,80394.51260194338,11.60145497731474,10.736951425764609,1.719232483636575,58057.51632374758,61266.29277781193
vacancies,SARIMAX,300,-46771.68027157609,60368.07212230176,80467.09634993879,10.390990118249304,9.633702683852906,1.5891250958704641,44657.14299007051,65477.962090796565
vacancies,BiLSTM_Attention,300,95953.90597016881,122817.78323461051,153854.671479003,19.466997326345066,22.16491559145183,3.2330471173883266,93605.71513100993,120266.81946813072
vacancies,TBATS_PROPHET,300,-283393.5210553195,283393.5210553195,298350.4466790169,51.51279796634566,39.7175595468923,7.460032107762659,306964.1040178097,93279.69370359823
