target,model,mean_error_bias,median_error_bias,mean_signed_percentage_error,overprediction_share,underprediction_share
theta,SARIMAX,-0.0781340557352833,-0.05911902569330446,-17.986805331412768,0.8733333333333333,0.12666666666666668
theta,TBATS_PROPHET,-0.2574203165600336,-0.259714859179741,-65.20288682814177,1.0,0.0
theta,VAR,-0.06020948995389721,-0.05216290199907758,-15.292985221497375,0.8333333333333334,0.16666666666666666
theta,BiLSTM_Attention,0.03439847207614173,0.019990805895188923,1.7421929427493024,0.41333333333333333,0.5866666666666667
