target,regime,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE
unemployment,Labour Tightness,SARIMAX,78,80343.45438483117,82028.81554724996,99571.89189743246,6.755060957393547,7.102113987278748,2.464769685919866
unemployment,Labour Tightness,TBATS_PROPHET,78,80605.77439600628,82218.35265729215,99694.24026927353,6.770007733562938,7.117934937496724,2.4704648226845767
unemployment,Labour Tightness,VAR,78,21318.00275796089,46466.68013427636,57508.66861269083,3.8756788993112674,3.941376739214417,1.3962125850071334
unemployment,Labour Tightness,BiLSTM_Attention,78,54058.72106771013,60353.055164844656,76515.20249876013,4.9660958394657175,5.162417115882333,1.8134649370533986
unemployment,Recent Period,SARIMAX,222,117823.24250869369,123059.75313990378,144157.52146744568,8.529223990162524,9.062877914973186,2.8957085833450886
unemployment,Recent Period,TBATS_PROPHET,222,118639.08572397075,123642.55570715411,144693.56639012697,8.569487787915747,9.107544210252811,2.9094224609803194
unemployment,Recent Period,VAR,222,76742.58784519136,88084.39744404379,106954.66639607796,6.065679188874688,6.338433036215675,2.0727064635626102
unemployment,Recent Period,BiLSTM_Attention,222,142319.85454058528,146343.11012202135,172888.98407127568,9.889283793676409,10.59827100756979,3.4435872759470096
