target,regime,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE
vacancies,Labour Tightness,SARIMAX,78,-70987.05288353068,79068.04084714898,99753.19140477781,12.390391136157627,11.198190152013275,1.1299637704248928
vacancies,Labour Tightness,TBATS_PROPHET,78,-163682.73142009988,163682.73142009988,187365.16097209518,25.442443012030047,21.531836082619257,2.3391948803493117
vacancies,Labour Tightness,VAR,78,-43267.46203042818,65116.50088848021,84368.52239520525,10.190698193372052,9.384340048659618,0.9305818896292546
vacancies,Labour Tightness,BiLSTM_Attention,78,228700.55215942868,229108.22514906965,244258.20907141778,31.654543848795957,38.39663123846807,3.2741925960358835
vacancies,Recent Period,SARIMAX,222,-38263.576380889346,53797.812840598686,72482.72677900194,9.688497868713949,9.084017897742513,1.9899437022398296
vacancies,Recent Period,TBATS_PROPHET,222,-325454.06876499124,325454.06876499124,328562.60687618505,60.672652409753844,46.10713806136661,12.038319781254803
vacancies,Recent Period,VAR,222,-55142.46143046647,65378.82851770916,78950.76543117789,12.097126279781092,11.212193260963659,2.4183174221992276
vacancies,Recent Period,BiLSTM_Attention,222,49313.19244421265,85472.49283223295,105003.99628321794,15.184886386024482,16.461880364121807,3.1615680981343806
