target,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE,median_abs_error,std_error
unemployment,VAR,300,62332.19572251144,77263.79094350427,96565.86717023981,5.496279113588198,5.715198398995348,1.9297553746519018,61477.71631198411,73754.07838723854
unemployment,SARIMAX,300,108078.49759648945,112391.70936581377,134000.0573408096,8.067941601642591,8.553079293772633,2.8071170540102512,100556.70353028458,79215.23669488016
unemployment,TBATS_PROPHET,300,108750.4247787,112872.26291419,134450.48767341534,8.101622973784018,8.590245799336229,2.819119452306565,101532.09386448434,79058.70442950304
unemployment,BiLSTM_Attention,300,119371.95983763774,123985.69583315542,153757.0629833219,8.60925492558163,9.184948995731054,3.0966907006794084,107976.49807208951,96910.1110399664
