target,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE,median_abs_error,std_error
theta,VAR,300,-0.06020948995389721,0.07332658558380366,0.09265830922791082,17.795356229075736,15.766085814391436,1.9800065431299088,0.05959631392908318,0.07042996229210048
theta,SARIMAX,300,-0.0781340557352833,0.0832413455777742,0.1110443140249351,19.272458290516937,16.677114429217255,2.247730582171493,0.05911902569330446,0.0789044296071142
theta,BiLSTM_Attention,300,0.03439847207614173,0.1015814645145835,0.13176515351213564,22.368997584971613,22.831780364682857,2.742960998364281,0.07533490393068373,0.12719591502443608
theta,TBATS_PROPHET,300,-0.2574203165600336,0.2574203165600336,0.2699272833117344,65.20288682814176,47.528898091981645,6.951011110982644,0.259714859179741,0.08121280008831983
