target,model,mean_error_bias,median_error_bias,mean_signed_percentage_error,overprediction_share,underprediction_share
unemployment,SARIMAX,108078.49759648945,100556.70353028458,7.766999203796701,0.07,0.93
unemployment,TBATS_PROPHET,108750.4247787,101532.09386448434,7.813861257527639,0.07,0.93
unemployment,VAR,62332.19572251144,58063.26636507071,4.349086449161544,0.21333333333333335,0.7866666666666666
unemployment,BiLSTM_Attention,119371.95983763774,107489.04256709863,8.238284778699695,0.07333333333333333,0.9266666666666666
