model,BiLSTM_Attention,SARIMAX,TBATS_PROPHET,VAR
BiLSTM_Attention,1.0,-0.2936409082451538,0.7897892569660504,0.06168889896084046
SARIMAX,-0.2936409082451538,1.0,0.09207543797293301,0.8697344076239228
TBATS_PROPHET,0.7897892569660504,0.09207543797293301,1.0,0.4425621725961708
VAR,0.06168889896084046,0.8697344076239228,0.4425621725961708,1.0
