target,regime,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE
theta,Labour Tightness,SARIMAX,78,-0.10441378736715987,0.10789371271077111,0.13309984878499598,20.45316463314099,17.49702571852831,1.5167398569805306
theta,Labour Tightness,TBATS_PROPHET,78,-0.1871587079577302,0.1871587079577302,0.21056912728300645,35.18809513233867,28.299133995192854,2.631025152516876
theta,Labour Tightness,VAR,78,-0.045031572503507124,0.07398965054217206,0.09478433694012621,13.87040330025951,12.48184611914995,1.0401259643572371
theta,Labour Tightness,BiLSTM_Attention,78,0.1854161284839031,0.1867702446242268,0.20843044681102357,29.5426786826465,35.73096514537742,2.6255642428299555
theta,Recent Period,SARIMAX,222,-0.06890063651327258,0.07457970307158608,0.1021709718596746,18.857615521486867,16.38903748972958,2.9767828516956283
theta,Recent Period,TBATS_PROPHET,222,-0.28210682769057266,0.28210682769057266,0.2878919311159215,75.74862445099151,54.2853016935561,11.260044387807334
theta,Recent Period,VAR,222,-0.06554227176079101,0.0730936168146472,0.09189965099622366,19.174393744605762,16.920007869476283,2.91746703380413
theta,Recent Period,BiLSTM_Attention,222,-0.0186617855806393,0.07165027150308717,0.09054497448287645,19.848515037139897,18.299634360655034,2.8598571829254924
